Time - Temeperatura (°C)	Temperatura (°C) & Presión (kPa) - Temeperatura (°C)	Time - Presión (kPa)	Temperatura (°C) & Presión (kPa) - Presión (kPa)						
414	95,3	414	80						
415	95,3	415	80						
416	95,4	416	80						
417	95,5	417	79						
418	95,5	418	80						
419	95,5	419	81						
420	95,5	420	82						
421	95,6	421	82						
422	95,8	422	82						
423	95,8	423	82						
424	95,9	424	82						
425	95,9	425	81						
426	96	426	82						
427	96	427	82						
428	96	428	82						
429	96	429	82						
430	96,1	430	83						
431	96,3	431	83						
432	96,3	432	82						
433	96,4	433	83						
434	96,4	434	83						
435	96,5	435	83						
436	96,5	436	82						
437	96,5	437	82						
438	96,6	438	82						
439	96,6	439	83						
440	96,8	440	84						
441	96,9	441	84						
442	96,9	442	83						
443	97	443	83						
444	97	444	84						
445	97,1	445	84						
446	97,1	446	84						
447	97,3	447	84						
448	97,3	448	84						
449	97,4	449	85						
450	97,4	450	85						
451	97,5	451	85						
452	97,5	452	85						
453	97,5	453	85						
454	97,6	454	85						
455	97,6	455	85						
456	97,8	456	85						
457	97,8	457	87						
458	97,9	458	87						
459	97,9	459	86						
460	98	460	86						
461	98	461	86						
462	98	462	86						
463	98	463	86						
464	98,1	464	87						
465	98,1	465	87						
466	98,3	466	86						
467	98,3	467	86						
468	98,4	468	87						
469	98,4	469	86						
470	98,5	470	86						
471	98,5	471	87						
472	98,5	472	87						
473	98,5	473	87						
474	98,6	474	86						
475	98,8	475	87						
476	98,9	476	88						
477	98,9	477	89						
478	99	478	89						
479	99	479	89						
480	99,1	480	89						
481	99,4	481	90						
482	99,5	482	90						
483	99,5	483	90						
484	99,8	484	90						
485	99,9	485	91						
486	100	486	91						
487	100	487	91						
488	100,3	488	92						
489	100,4	489	92						
490	100,5	490	92						
491	100,6	491	93						
492	100,9	492	94						
493	101	493	94						
494	101	494	94						
495	101,3	495	95						
496	101,4	496	96						
497	101,5	497	96						
498	101,5	498	96						
499	101,8	499	95						
500	101,9	500	95						
501	102	501	96						
502	102	502	97						
503	102,1	503	97						
504	102,3	504	98						
505	102,4	505	97						
506	102,5	506	98						
507	102,6	507	97						
508	102,8	508	98						
509	102,9	509	99						
510	103	510	100						
511	103	511	100						
512	103,3	512	100						
513	103,4	513	101						
514	103,5	514	101						
515	103,5	515	100						
516	103,6	516	101						
517	103,9	517	100						
518	103,9	518	100						
519	104	519	101						
520	104,1	520	102						
521	104,3	521	103						
522	104,4	522	103						
523	104,5	523	103						
524	104,5	524	104						
525	104,6	525	105						
526	104,8	526	105						
527	104,9	527	104						
528	105	528	106						
529	105	529	105						
530	105	530	105						
531	105	531	105						
532	105,1	532	105						
533	105,1	533	105						
534	105,1	534	105						
535	105,1	535	105						
536	105,3	536	105						
537	105,3	537	105						
538	105,3	538	105						
539	105,3	539	105						
540	105,1	540	106						
541	105,1	541	106						
542	105,3	542	105						
543	105,3	543	106						
544	105,3	544	106						
545	105,3	545	107						
546	105,4	546	108						
547	105,4	547	108						
548	105,5	548	108						
549	105,5	549	109						
550	105,5	550	108						
551	105,6	551	108						
552	105,9	552	109						
553	105,9	553	110						
554	106	554	110						
555	106,1	555	112						
556	106,3	556	112						
557	106,5	557	112						
558	106,5	558	112						
559	106,8	559	112						
560	106,9	560	112						
561	107	561	113						
562	107	562	113						
