Time - Temeperatura (°C)	Temperatura (°C) & Presión (kPa) - Temeperatura (°C)	Time - Presión (kPa)	Temperatura (°C) & Presión (kPa) - Presión (kPa)			
553	78,5	553	60			
554	78,5	554	61			
555	78,6	555	60			
556	78,6	556	61			
557	78,8	557	61			
558	78,8	558	61			
559	78,9	559	62			
560	78,9	560	62			
561	79	561	62			
562	79	562	61			
563	79	563	61			
564	79,1	564	61			
565	79,1	565	62			
566	79,3	566	62			
567	79,3	567	61			
568	79,4	568	61			
569	79,4	569	61			
570	79,5	570	61			
571	79,5	571	61			
572	79,5	572	61			
573	79,5	573	62			
574	79,6	574	61			
575	79,6	575	60			
576	79,8	576	61			
577	79,9	577	61			
578	79,9	578	61			
579	80	579	61			
580	80	580	62			
581	80	581	62			
582	80	582	62			
583	80,1	583	61			
584	80,3	584	61			
585	80,3	585	62			
586	80,4	586	62			
587	80,4	587	61			
588	80,5	588	62			
589	80,5	589	62			
590	80,5	590	62			
591	80,5	591	61			
592	80,6	592	61			
593	80,6	593	62			
594	80,6	594	61			
595	80,8	595	61			
596	80,8	596	61			
597	80,9	597	62			
598	80,9	598	61			
599	81	599	61			
600	81	600	60			
601	81	601	61			
602	81	602	61			
603	81,1	603	61			
604	81,1	604	61			
605	81,3	605	61			
606	81,3	606	62			
607	81,4	607	62			
608	81,4	608	62			
609	81,5	609	62			
610	81,5	610	61			
611	81,5	611	61			
612	81,5	612	62			
613	81,6	613	61			
614	81,6	614	61			
615	81,6	615	61			
616	81,8	616	61			
617	81,8	617	62			
618	81,9	618	62			
619	81,9	619	61			
620	82	620	62			
621	82	621	62			
622	82	622	61			
623	82	623	61			
624	82,1	624	62			
625	82,1	625	61			
626	82,1	626	61			
627	82,3	627	62			
628	82,3	628	62			
629	82,4	629	62			
630	82,4	630	61			
631	82,5	631	61			
632	82,5	632	62			
633	82,5	633	62			
634	82,5	634	62			
635	82,6	635	62			
636	82,6	636	62			
637	82,8	637	61			
638	82,8	638	62			
639	82,9	639	62			
640	82,9	640	62			
641	83	641	62			
642	83	642	61			
643	83	643	61			
644	83	644	61			
645	83,1	645	62			
646	83,1	646	61			
647	83,3	647	61			
648	83,3	648	62			
649	83,4	649	62			
650	83,5	650	62			
651	83,5	651	63			
652	83,5	652	63			
653	83,5	653	63			
654	83,6	654	63			
655	83,6	655	63			
656	83,8	656	63			
657	83,8	657	62			
658	83,9	658	61			
659	83,9	659	62			
660	84	660	63			
661	84	661	63			
662	84	662	62			
663	84	663	62			
664	84	664	63			
665	84,1	665	62			
666	84,1	666	62			
667	84,3	667	62			
668	84,3	668	63			
669	84,3	669	63			
670	84,4	670	63			
671	84,4	671	64			
672	84,5	672	63			
673	84,5	673	63			
674	84,5	674	63			
675	84,5	675	63			
676	84,6	676	63			
677	84,6	677	62			
678	84,8	678	62			
679	84,8	679	62			
680	84,9	680	62			
681	84,9	681	63			
682	85	682	63			
683	85	683	64			
684	85	684	63			
685	85	685	63			
686	85,1	686	62			
687	85,1	687	63			
688	85,1	688	63			
689	85,3	689	63			
690	85,3	690	64			
691	85,4	691	64			
692	85,4	692	64			
693	85,5	693	63			
694	85,5	694	63			
695	85,5	695	63			
696	85,5	696	63			
697	85,5	697	63			
698	85,5	698	63			
699	85,6	699	63			
700	85,6	700	63			
701	85,6	701	63			
702	85,8	702	64			
703	85,8	703	65			
704	85,8	704	63			
705	85,9	705	63			
706	85,9	706	64			
707	86	707	64			
708	86	708	64			
709	86	709	64			
710	86	710	65			
711	86	711	64			
712	86,1	712	63			
713	86,1	713	63			
714	86,1	714	63			
715	86,3	715	64			
716	86,3	716	64			
717	86,4	717	64			
718	86,4	718	63			
719	86,5	719	63			
720	86,5	720	64			
721	86,5	721	64			
722	86,5	722	64			
723	86,6	723	64			
724	86,6	724	64			
725	86,8	725	65			
726	86,8	726	65			
727	86,9	727	65			
728	86,9	728	65			
729	86,9	729	64			
730	87	730	64			
731	87	731	64			
732	87	732	65			
733	87	733	65			
734	87,1	734	64			
735	87,1	735	64			
736	87,3	736	65			
737	87,3	737	65			
738	87,3	738	65			
739	87,4	739	65			
740	87,4	740	65			
741	87,5	741	65			
742	87,5	742	64			
743	87,5	743	65			
744	87,5	744	66			
745	87,5	745	65			
746	87,5	746	66			
747	87,6	747	66			
748	87,6	748	65			
749	87,8	749	65			
750	87,8	750	65			
751	87,8	751	66			
752	87,9	752	65			
753	87,9	753	65			
754	88	754	66			
755	88	755	67			
756	88	756	66			
757	88	757	66			
758	88,1	758	66			
759	88,1	759	66			
760	88,1	760	66			
761	88,3	761	67			
762	88,3	762	67			
763	88,3	763	66			
764	88,4	764	66			
765	88,4	765	66			
766	88,5	766	66			
767	88,5	767	66			
768	88,5	768	66			
769	88,5	769	66			
770	88,5	770	67			
771	88,5	771	67			
772	88,5	772	66			
773	88,6	773	66			
774	88,6	774	65			
775	88,6	775	66			
776	88,8	776	65			
777	88,8	777	65			
778	88,8	778	66			
779	88,8	779	67			
780	88,9	780	67			
781	88,9	781	68			
782	88,9	782	68			
783	89	783	68			
784	89	784	68			
785	89	785	68			
786	89	786	67			
787	89	787	67			
788	89,1	788	67			
789	89,1	789	67			
790	89,3	790	67			
791	89,3	791	68			
792	89,3	792	68			
793	89,4	793	68			
794	89,4	794	68			
795	89,5	795	68			
796	89,5	796	68			
797	89,5	797	68			
798	89,5	798	68			
799	89,5	799	68			
800	89,6	800	68			
801	89,8	801	68			
802	89,8	802	67			
803	89,8	803	67			
804	89,9	804	67			
805	89,9	805	68			
806	89,9	806	67			
807	90	807	67			
808	90	808	68			
809	90	809	68			
810	90	810	68			
811	90	811	68			
812	90	812	69			
813	90	813	69			
814	90,1	814	69			
815	90,1	815	69			
816	90,1	816	70			
817	90,1	817	69			
818	90,3	818	69			
819	90,3	819	69			
820	90,3	820	69			
821	90,4	821	69			
822	90,4	822	68			
823	90,4	823	69			
824	90,5	824	70			
825	90,5	825	70			
826	90,5	826	69			
827	90,5	827	70			
828	90,5	828	69			
829	90,6	829	69			
830	90,6	830	69			
831	90,6	831	70			
832	90,8	832	69			
833	90,8	833	69			
834	90,9	834	70			
835	90,9	835	70			
836	91	836	70			
837	91	837	70			
838	91	838	70			
839	91	839	70			
840	91	840	70			
841	91,1	841	70			
842	91,1	842	70			
843	91,3	843	71			
844	91,3	844	70			
845	91,3	845	70			
846	91,4	846	70			
847	91,4	847	70			
848	91,5	848	70			
849	91,5	849	70			
850	91,5	850	70			
851	91,5	851	71			
852	91,5	852	72			
853	91,6	853	70			
854	91,6	854	70			
855	91,6	855	70			
856	91,8	856	71			
857	91,8	857	72			
858	91,8	858	72			
859	91,9	859	72			
860	91,9	860	71			
861	91,9	861	72			
862	92	862	72			
863	92	863	72			
864	92	864	71			
865	92	865	71			
866	92	866	71			
867	92,1	867	72			
868	92,1	868	73			
869	92,1	869	73			
870	92,3	870	72			
871	92,3	871	72			
872	92,3	872	71			
873	92,3	873	71			
874	92,4	874	72			
875	92,4	875	72			
876	92,5	876	72			
877	92,5	877	72			
878	92,5	878	73			
879	92,5	879	73			
880	92,5	880	72			
881	92,5	881	73			
882	92,6	882	72			
883	92,6	883	72			
884	92,6	884	71			
885	92,8	885	71			
886	92,8	886	72			
887	92,8	887	72			
888	92,9	888	73			
889	92,9	889	72			
890	92,9	890	72			
891	93	891	72			
892	93	892	73			
893	93	893	73			
894	93	894	73			
895	93	895	73			
896	93,1	896	74			
897	93,1	897	74			
898	93,1	898	74			
899	93,1	899	73			
900	93,3	900	73			
901	93,3	901	74			
902	93,3	902	75			
903	93,4	903	75			
904	93,4	904	74			
905	93,4	905	75			
906	93,5	906	75			
907	93,5	907	75			
908	93,5	908	74			
909	93,5	909	74			
910	93,5	910	75			
911	93,5	911	75			
912	93,6	912	75			
913	93,6	913	75			
914	93,6	914	74			
915	93,8	915	74			
916	93,8	916	75			
917	93,9	917	75			
918	93,9	918	75			
919	93,9	919	75			
920	94	920	75			
921	94	921	74			
922	94	922	74			
923	94	923	75			
924	94	924	75			
925	94,1	925	75			
926	94,1	926	75			
927	94,1	927	74			
928	94,3	928	74			
929	94,3	929	74			
930	94,4	930	74			
931	94,4	931	75			
932	94,4	932	76			
933	94,5	933	76			
934	94,5	934	76			
935	94,5	935	76			
936	94,5	936	75			
937	94,5	937	75			
938	94,5	938	76			
939	94,6	939	77			
940	94,6	940	77			
941	94,6	941	76			
942	94,8	942	76			
943	94,8	943	76			
944	94,8	944	77			
945	94,8	945	76			
946	94,9	946	76			
947	94,9	947	77			
948	94,9	948	77			
949	94,9	949	77			
950	95	950	77			
951	95	951	77			
952	95	952	77			
953	95	953	77			
954	95	954	77			
955	95	955	77			
956	95	956	77			
957	95,1	957	77			
958	95,1	958	77			
959	95,1	959	77			
960	95,1	960	76			
961	95,3	961	76			
962	95,3	962	77			
963	95,3	963	77			
964	95,3	964	77			
965	95,4	965	77			
966	95,4	966	77			
967	95,4	967	77			
968	95,5	968	77			
969	95,5	969	78			
970	95,5	970	79			
971	95,5	971	79			
972	95,5	972	78			
973	95,5	973	78			
974	95,5	974	77			
975	95,5	975	78			
976	95,6	976	79			
977	95,6	977	78			
978	95,6	978	78			
979	95,6	979	77			
980	95,6	980	77			
981	95,6	981	78			
982	95,8	982	78			
983	95,8	983	78			
984	95,8	984	78			
