Time - Temeperatura (°C)	Temperatura (°C) & Presión (kPa) - Temeperatura (°C)	Time - Presión (kPa)	Temperatura (°C) & Presión (kPa) - Presión (kPa)						
842	119,6	842	171						
843	119,6	843	170						
844	119,8	844	170						
845	119,9	845	169						
846	119,9	846	170						
847	120	847	171						
848	120	848	172						
849	120	849	172						
850	120	850	172						
851	120,1	851	172						
852	120,1	852	172						
853	120,1	853	171						
854	120,1	854	172						
855	120,3	855	173						
856	120,3	856	173						
857	120,3	857	173						
858	120,3	858	172						
859	120,4	859	172						
860	120,4	860	172						
861	120,4	861	171						
862	120,4	862	172						
863	120,5	863	172						
864	120,5	864	173						
865	120,5	865	173						
866	120,5	866	174						
867	120,5	867	175						
868	120,5	868	176						
869	120,5	869	176						
870	120,5	870	175						
871	120,5	871	175						
872	120,5	872	174						
873	120,6	873	172						
874	120,6	874	171						
875	120,5	875	171						
876	120,5	876	171						
877	120,5	877	169						
878	120,5	878	166						
879	120,5	879	165						
880	120,4	880	164						
881	120,4	881	164						
882	120,3	882	166						
883	120,3	883	167						
884	120,3	884	168						
885	120,1	885	168						
886	120,1	886	168						
887	120,1	887	168						
888	120	888	168						
889	120	889	168						
890	120	890	167						
891	120	891	168						
892	120	892	168						
893	120	893	169						
894	120	894	171						
895	120	895	171						
896	120	896	172						
897	120,1	897	174						
898	120,1	898	174						
899	120,3	899	173						
900	120,3	900	172						
901	120,3	901	171						
902	120,3	902	171						
903	120,4	903	172						
904	120,4	904	172						
905	120,5	905	172						
906	120,5	906	173						
907	120,5	907	175						
908	120,5	908	175						
909	120,5	909	175						
910	120,6	910	176						
911	120,6	911	177						
912	120,6	912	176						
913	120,8	913	175						
914	120,8	914	174						
915	120,9	915	174						
916	120,9	916	174						
917	120,9	917	175						
918	120,9	918	176						
919	120,9	919	177						
920	121	920	178						
921	121	921	178						
922	121	922	177						
923	121	923	177						
924	121	924	177						
925	121	925	177						
926	121	926	177						
927	121	927	176						
928	121,1	928	177						
929	121	929	177						
930	121,1	930	177						
931	121,1	931	177						
932	121,1	932	177						
933	121,1	933	178						
934	121,1	934	177						
935	121,3	935	177						
936	121,3	936	178						
937	121,3	937	177						
938	121,4	938	176						
939	121,4	939	176						
940	121,3	940	177						
941	121,4	941	177						
942	121,4	942	177						
943	121,4	943	177						
944	121,4	944	178						
945	121,4	945	177						
946	121,4	946	178						
947	121,4	947	177						
948	121,4	948	177						
949	121,4	949	176						
950	121,4	950	177						
951	121,4	951	178						
952	121,4	952	178						
953	121,4	953	177						
954	121,4	954	177						
955	121,4	955	177						
956	121,4	956	177						
957	121,4	957	177						
958	121,4	958	176						
959	121,4	959	176						
960	121,4	960	176						
961	121,4	961	177						
962	121,4	962	178						
963	121,5	963	179						
964	121,5	964	179						
965	121,5	965	178						
966	121,5	966	178						
967	121,5	967	178						
968	121,5	968	178						
969	121,5	969	177						
970	121,5	970	178						
971	121,5	971	178						
972	121,5	972	178						
973	121,5	973	178						
974	121,5	974	178						
975	121,5	975	178						
976	121,5	976	177						
977	121,5	977	177						
978	121,5	978	177						
979	121,5	979	177						
980	121,5	980	178						
981	121,5	981	179						
982	121,5	982	179						
983	121,5	983	178						
984	121,5	984	178						
985	121,5	985	178						
986	121,5	986	177						
987	121,5	987	177						
988	121,5	988	176						
989	121,5	989	177						
990	121,5	990	178						
991	121,5	991	178						
992	121,5	992	178						
993	121,5	993	178						
994	121,5	994	178						
995	121,5	995	177						
996	121,5	996	176						
997	121,5	997	176						
998	121,5	998	177						
999	121,5	999	177						
1000	121,5	1000	177						
1001	121,5	1001	179						
1002	121,5	1002	178						
1003	121,5	1003	179						
1004	121,5	1004	178						
1005	121,5	1005	177						
1006	121,5	1006	177						
1007	121,5	1007	177						
1008	121,5	1008	177						
1009	121,5	1009	177						
1010	121,5	1010	178						
1011	121,5	1011	179						
1012	121,5	1012	178						
1013	121,6	1013	178						
1014	121,6	1014	178						
1015	121,6	1015	177						
1016	121,6	1016	177						
1017	121,6	1017	177						
1018	121,6	1018	177						
1019	121,5	1019	177						
1020	121,5	1020	178						
1021	121,5	1021	178						
1022	121,5	1022	178						
1023	121,5	1023	177						
1024	121,5	1024	177						
1025	121,5	1025	177						
1026	121,5	1026	176						
1027	121,5	1027	176						
1028	121,5	1028	176						
1029	121,5	1029	177						
1030	121,5	1030	178						
1031	121,5	1031	177						
1032	121,5	1032	178						
1033	121,5	1033	178						
1034	121,5	1034	178						
1035	121,5	1035	178						
1036	121,5	1036	177						
1037	121,5	1037	176						
1038	121,5	1038	176						
1039	121,5	1039	176						
1040	121,5	1040	177						
1041	121,5	1041	177						
1042	121,5	1042	178						
1043	121,5	1043	178						
1044	121,5	1044	178						
1045	121,5	1045	178						
1046	121,5	1046	178						
1047	121,5	1047	177						
1048	121,5	1048	177						
1049	121,5	1049	177						
1050	121,5	1050	179						
1051	121,5	1051	179						
1052	121,5	1052	179						
1053	121,5	1053	177						
1054	121,5	1054	177						
1055	121,6	1055	177						
1056	121,5	1056	177						
1057	121,6	1057	177						
1058	121,6	1058	176						
1059	121,6	1059	177						
1060	121,6	1060	178						
1061	121,6	1061	178						
1062	121,6	1062	177						
1063	121,6	1063	176						
1064	121,6	1064	177						
1065	121,6	1065	178						
1066	121,6	1066	178						
1067	121,6	1067	178						
1068	121,6	1068	177						
1069	121,6	1069	177						
1070	121,6	1070	177						
1071	121,6	1071	177						
1072	121,6	1072	177						
1073	121,6	1073	177						
1074	121,6	1074	177						
1075	121,6	1075	177						
1076	121,6	1076	177						
1077	121,6	1077	177						
1078	121,6	1078	176						
1079	121,5	1079	177						
1080	121,5	1080	177						
1081	121,5	1081	178						
1082	121,6	1082	178						
1083	121,5	1083	178						
1084	121,5	1084	178						
1085	121,5	1085	177						
1086	121,5	1086	177						
1087	121,5	1087	177						
1088	121,5	1088	178						
1089	121,5	1089	178						
1090	121,5	1090	178						
1091	121,5	1091	178						
1092	121,5	1092	178						
1093	121,5	1093	178						
1094	121,5	1094	178						
1095	121,5	1095	178						
1096	121,5	1096	177						
1097	121,5	1097	176						
1098	121,5	1098	175						
1099	121,5	1099	176						
1100	121,5	1100	178						
1101	121,5	1101	177						
1102	121,5	1102	178						
1103	121,5	1103	178						
1104	121,5	1104	178						
1105	121,5	1105	177						
1106	121,5	1106	177						
1107	121,5	1107	176						
1108	121,5	1108	176						
1109	121,5	1109	176						
1110	121,5	1110	178						
1111	121,5	1111	179						
1112	121,5	1112	179						
1113	121,5	1113	178						
1114	121,5	1114	177						
1115	121,5	1115	177						
1116	121,5	1116	178						
1117	121,5	1117	178						
1118	121,5	1118	177						
1119	121,5	1119	178						
1120	121,5	1120	178						
1121	121,5	1121	178						
1122	121,5	1122	178						
1123	121,6	1123	177						
1124	121,6	1124	177						
1125	121,6	1125	178						
