WARNING (------): DXF version not recognised or not release 12-15.
ASCII DXF release 15 is recommended
XRECORD: name="ACDB_RECOMPOSE_DATA", handle="15D", group="280", value="     1"
WARNING (014536): XRECORD object group 140 unknown/not supported - ignored.
WARNING (014544): XRECORD object group 140 unknown/not supported - ignored.
WARNING (014552): XRECORD object group 90 unknown/not supported - ignored.
WARNING (014560): XRECORD object group 90 unknown/not supported - ignored.
WARNING (014564): XRECORD object group 90 unknown/not supported - ignored.
WARNING (014572): XRECORD object group 90 unknown/not supported - ignored.
WARNING (014580): XRECORD object group 90 unknown/not supported - ignored.
WARNING (014588): XRECORD object group 90 unknown/not supported - ignored.
WARNING (014592): XRECORD object group 90 unknown/not supported - ignored.
WARNING (014600): XRECORD object group 280 unknown/not supported - ignored.
WARNING (014608): XRECORD object group 90 unknown/not supported - ignored.
WARNING (014616): XRECORD object group 90 unknown/not supported - ignored.
WARNING (014624): XRECORD object group 90 unknown/not supported - ignored.
WARNING (014632): XRECORD object group 280 unknown/not supported - ignored.
WARNING (014640): XRECORD object group 90 unknown/not supported - ignored.
WARNING (014648): XRECORD object group 90 unknown/not supported - ignored.
WARNING (014652): XRECORD object group 90 unknown/not supported - ignored.
WARNING (014660): XRECORD object group 140 unknown/not supported - ignored.
WARNING (014668): XRECORD object group 90 unknown/not supported - ignored.
WARNING (014676): XRECORD object group 1 unknown/not supported - ignored.
WARNING (014684): XRECORD object group 280 unknown/not supported - ignored.
WARNING (014692): XRECORD object group 140 unknown/not supported - ignored.
WARNING (014700): XRECORD object group 140 unknown/not supported - ignored.
WARNING (015496): XRECORD object group 280 unknown/not supported - ignored.
WARNING (015504): XRECORD object group 280 unknown/not supported - ignored.
WARNING (015512): XRECORD object group 280 unknown/not supported - ignored.
WARNING (015520): XRECORD object group 280 unknown/not supported - ignored.
WARNING (015528): XRECORD object group 280 unknown/not supported - ignored.
WARNING (015536): XRECORD object group 280 unknown/not supported - ignored.
WARNING (015544): XRECORD object group 280 unknown/not supported - ignored.
WARNING (015552): XRECORD object group 280 unknown/not supported - ignored.
WARNING (015560): XRECORD object group 280 unknown/not supported - ignored.
